time,turbidity,pH
2020-11-10 02:59:47.863645+00:00,25.85615918,7.35
2020-11-10 03:30:03.903302+00:00,28.73466229,7.35
2020-11-10 04:00:19.963326+00:00,20.97599715,7.36
2020-11-10 04:30:36.023528+00:00,17.73466229,7.35
2020-11-10 05:00:52.062646+00:00,17.85615918,7.35
2020-11-10 05:31:08.123389+00:00,19.61150649,7.35
2020-11-10 06:01:24.184523+00:00,20.85615918,7.35
2020-11-10 06:31:40.251012+00:00,20.97599715,7.35
2020-11-10 07:01:56.302834+00:00,17.85615918,7.35
2020-11-10 07:32:12.367390+00:00,11.61150649,7.38
2020-11-10 08:02:28.406760+00:00,19.97599715,7.35
2020-11-10 09:03:00.514037+00:00,17.73466229,7.35
2020-11-10 09:33:16.570390+00:00,17.73466229,7.35
2020-11-10 10:03:32.645958+00:00,17.97599715,7.35
2020-11-10 10:33:48.685714+00:00,17.61150649,7.35
2020-11-10 11:04:04.748351+00:00,17.48669177,7.34
2020-11-10 11:34:20.805946+00:00,17.85615918,7.34
2020-11-10 12:04:36.866500+00:00,17.48669177,7.35
2020-11-10 12:34:52.924107+00:00,17.85615918,7.35
2020-11-10 13:05:08.984195+00:00,17.85615918,7.36
2020-11-10 13:35:25.045939+00:00,17.73466229,7.36
2020-11-10 14:05:41.113228+00:00,17.48669177,7.35
2020-11-10 14:35:57.167063+00:00,17.97599715,7.35
2020-11-10 15:06:13.233354+00:00,17.73466229,7.35
2020-11-10 15:36:29.290971+00:00,17.61150649,7.35
2020-11-10 16:06:45.351019+00:00,17.61150649,7.35
2020-11-10 16:37:01.411750+00:00,18.09417621,7.35
2020-11-10 17:07:17.473336+00:00,17.61150649,7.35
2020-11-10 17:37:33.521978+00:00,21.85615918,7.35
2020-11-10 18:07:49.598997+00:00,22.85615918,7.35
2020-11-10 19:08:21.700983+00:00,23.61150649,7.35
2020-11-10 19:38:37.754130+00:00,21.48669177,7.35
2020-11-10 20:08:53.822351+00:00,20.85615918,7.35
2020-11-10 20:39:09.872524+00:00,19.73466229,7.36
2020-11-10 21:09:25.935074+00:00,19.85615918,7.35
2020-11-10 21:39:41.990010+00:00,17.61150649,7.35
2020-11-10 22:09:58.052612+00:00,20.85615918,7.35
2020-11-10 22:40:14.092243+00:00,20.61150649,7.35
2020-11-10 23:10:30.155960+00:00,21.97599715,7.36
2020-11-10 23:40:46.211323+00:00,20.61150649,7.35
2020-11-11 00:11:02.274724+00:00,21.73466229,7.35
2020-11-11 00:41:18.328484+00:00,15.73466229,7.35
2020-11-11 01:11:34.389403+00:00,11.61150649,7.39
2020-11-11 01:41:50.428119+00:00,12.61150649,7.35
2020-11-11 02:12:06.489082+00:00,12.73466229,7.35
2020-11-11 02:42:22.547123+00:00,14.73466229,7.35
2020-11-11 03:12:38.607057+00:00,14.73466229,7.35
2020-11-11 03:42:54.674932+00:00,15.85615918,7.36
2020-11-11 04:43:26.794678+00:00,15.85615918,7.35
2020-11-11 06:44:31.020219+00:00,14.97599715,7.35
2020-11-11 07:14:47.067944+00:00,11.48669177,7.35
2020-11-11 07:45:03.127346+00:00,12.85615918,7.35
2020-11-11 08:15:19.166353+00:00,15.73466229,7.35
2020-11-11 08:45:35.227516+00:00,16.73466229,7.35
2020-11-11 09:46:07.347369+00:00,17.48669177,7.35
2020-11-11 12:17:27.618728+00:00,17.85615918,7.35
2020-11-11 12:47:43.690499+00:00,17.61150649,7.35
2020-11-11 13:34:39.691086+00:00,17.73466229,7.35
2020-11-11 14:04:55.742425+00:00,17.73466229,7.35
2020-11-11 15:05:27.864016+00:00,17.73466229,7.35
2020-11-11 15:41:15.419250+00:00,17.73466229,7.35
2020-11-11 16:11:31.481835+00:00,17.73466229,7.35
2020-11-11 16:41:47.558278+00:00,17.61150649,7.35
2020-11-11 17:12:03.592215+00:00,17.97599715,7.35
2020-11-11 17:42:19.661850+00:00,17.73466229,7.35
2020-11-11 18:12:35.713854+00:00,19.85615918,7.4
2020-11-11 20:13:39.934186+00:00,17.73466229,7.35
2020-11-11 21:14:12.059646+00:00,17.85615918,7.35
2020-11-11 22:14:44.153913+00:00,17.85615918,7.35
